Source,Destination,Avg_Delay(ms)
1,2,0.000234
3,7,0.000234
9,13,0.000234
8,12,0.000234
8,12,0.000234
3,6,0.000234
3,7,0.000235
9,13,0.000235
7,11,0.000235
10,14,0.000235
5,9,0.000236
7,10,0.000236
6,10,0.000236
4,8,0.000236
10,14,0.000236
9,13,0.000236
8,12,0.000236
2,5,0.000237
2,5,0.000237
3,7,0.000237
3,6,0.000237
10,14,0.000237
7,11,0.000237
5,9,0.000238
8,12,0.000238
10,14,0.000238
3,7,0.000238
9,13,0.000239
1,2,0.000239
3,6,0.000239
2,5,0.000239
1,2,0.000239
9,13,0.000239
2,4,0.00024
8,12,0.00024
8,12,0.00024
1,2,0.00024
1,2,0.00024
8,12,0.00024
3,7,0.00024
2,4,0.00024
13,7,0.000241
9,13,0.000241
6,10,0.000241
3,7,0.000241
3,7,0.000241
2,4,0.000241
2,4,0.000241
2,5,0.000241
7,10,0.000241
2,5,0.000241
4,8,0.000241
5,9,0.000241
1,3,0.000242
11,15,0.000242
9,13,0.000242
9,13,0.000242
9,13,0.000242
3,6,0.000243
13,7,0.000243
2,5,0.000243
3,7,0.000243
10,14,0.000243
6,10,0.000243
11,15,0.000243
13,7,0.000244
1,3,0.000244
1,2,0.000244
7,11,0.000244
5,9,0.000244
11,15,0.000245
9,13,0.000245
7,10,0.000245
3,6,0.000245
13,7,0.000245
5,9,0.000246
3,7,0.000246
10,14,0.000246
7,10,0.000246
6,10,0.000246
13,7,0.000247
2,5,0.000247
2,4,0.000247
7,11,0.000247
1,2,0.000247
6,10,0.000247
7,10,0.000247
7,11,0.000247
13,7,0.000248
8,12,0.000248
3,6,0.000248
2,4,0.000248
7,11,0.000249
6,10,0.000249
2,5,0.000249
10,14,0.000249
2,5,0.000249
1,2,0.000249
3,6,0.00025
1,2,0.00025
11,15,0.00025
1,2,0.00025
3,6,0.00025
4,8,0.00025
13,7,0.000251
7,11,0.000251
7,11,0.000251
11,15,0.000251
4,8,0.000252
3,7,0.000252
10,14,0.000252
1,3,0.000253
7,10,0.000253
2,4,0.000253
7,10,0.000253
7,10,0.000253
4,8,0.000253
1,2,0.000253
1,3,0.000254
9,13,0.000254
2,4,0.000254
3,7,0.000254
5,9,0.000254
10,14,0.000254
8,12,0.000254
8,12,0.000254
2,4,0.000254
1,2,0.000254
11,15,0.000255
3,6,0.000255
10,14,0.000255
1,2,0.000255
9,13,0.000255
11,15,0.000255
2,4,0.000255
3,6,0.000256
9,13,0.000256
7,11,0.000257
13,7,0.000257
1,2,0.000257
10,14,0.000257
2,4,0.000257
2,5,0.000257
7,11,0.000258
6,10,0.000258
3,6,0.000258
3,7,0.000258
4,8,0.000258
6,10,0.000258
10,14,0.000258
11,15,0.000259
1,3,0.000259
1,2,0.000259
1,2,0.00026
6,10,0.000261
6,10,0.000261
2,4,0.000261
11,15,0.000261
3,6,0.000261
6,10,0.000261
3,6,0.000261
6,10,0.000261
8,12,0.000262
9,13,0.000262
1,3,0.000262
5,9,0.000262
9,13,0.000262
10,14,0.000262
3,7,0.000262
1,3,0.000263
2,4,0.000263
1,3,0.000263
4,8,0.000263
6,10,0.000264
6,10,0.000264
7,11,0.000264
1,2,0.000264
2,5,0.000264
10,14,0.000264
13,7,0.000264
3,7,0.000265
5,9,0.000265
13,7,0.000265
2,4,0.000265
3,6,0.000265
4,8,0.000265
5,9,0.000265
9,13,0.000265
13,7,0.000265
10,14,0.000266
4,8,0.000266
7,10,0.000266
11,15,0.000266
1,3,0.000266
7,11,0.000266
5,9,0.000267
2,4,0.000267
5,9,0.000267
8,12,0.000267
7,10,0.000267
3,7,0.000267
3,7,0.000267
11,15,0.000267
7,10,0.000267
8,12,0.000268
