Source,Destination,Avg_Delay(ms)
5,9,0.000265
3,7,0.000265
13,7,0.000264
10,14,0.000264
2,5,0.000264
1,2,0.000264
7,11,0.000264
6,10,0.000264
6,10,0.000264
4,8,0.000263
1,3,0.000263
2,4,0.000263
1,3,0.000263
3,7,0.000262
10,14,0.000262
9,13,0.000262
5,9,0.000262
1,3,0.000262
9,13,0.000262
8,12,0.000262
6,10,0.000261
3,6,0.000261
6,10,0.000261
3,6,0.000261
11,15,0.000261
2,4,0.000261
6,10,0.000261
6,10,0.000261
1,2,0.00026
1,2,0.000259
1,3,0.000259
11,15,0.000259
10,14,0.000258
6,10,0.000258
4,8,0.000258
3,7,0.000258
3,6,0.000258
6,10,0.000258
7,11,0.000258
2,5,0.000257
2,4,0.000257
10,14,0.000257
1,2,0.000257
13,7,0.000257
7,11,0.000257
9,13,0.000256
3,6,0.000256
2,4,0.000255
11,15,0.000255
9,13,0.000255
1,2,0.000255
10,14,0.000255
3,6,0.000255
11,15,0.000255
1,2,0.000254
2,4,0.000254
8,12,0.000254
8,12,0.000254
10,14,0.000254
5,9,0.000254
3,7,0.000254
2,4,0.000254
9,13,0.000254
1,3,0.000254
1,2,0.000253
4,8,0.000253
7,10,0.000253
7,10,0.000253
2,4,0.000253
7,10,0.000253
1,3,0.000253
10,14,0.000252
3,7,0.000252
4,8,0.000252
11,15,0.000251
7,11,0.000251
7,11,0.000251
13,7,0.000251
4,8,0.00025
3,6,0.00025
1,2,0.00025
11,15,0.00025
1,2,0.00025
3,6,0.00025
1,2,0.000249
2,5,0.000249
10,14,0.000249
2,5,0.000249
6,10,0.000249
7,11,0.000249
2,4,0.000248
3,6,0.000248
8,12,0.000248
13,7,0.000248
7,11,0.000247
7,10,0.000247
6,10,0.000247
1,2,0.000247
7,11,0.000247
2,4,0.000247
2,5,0.000247
13,7,0.000247
6,10,0.000246
7,10,0.000246
10,14,0.000246
3,7,0.000246
5,9,0.000246
13,7,0.000245
3,6,0.000245
7,10,0.000245
9,13,0.000245
11,15,0.000245
5,9,0.000244
7,11,0.000244
1,2,0.000244
1,3,0.000244
13,7,0.000244
11,15,0.000243
6,10,0.000243
10,14,0.000243
3,7,0.000243
2,5,0.000243
13,7,0.000243
3,6,0.000243
9,13,0.000242
9,13,0.000242
9,13,0.000242
11,15,0.000242
1,3,0.000242
5,9,0.000241
4,8,0.000241
2,5,0.000241
7,10,0.000241
2,5,0.000241
2,4,0.000241
2,4,0.000241
3,7,0.000241
3,7,0.000241
6,10,0.000241
9,13,0.000241
13,7,0.000241
2,4,0.00024
3,7,0.00024
8,12,0.00024
1,2,0.00024
1,2,0.00024
8,12,0.00024
8,12,0.00024
2,4,0.00024
9,13,0.000239
1,2,0.000239
2,5,0.000239
3,6,0.000239
1,2,0.000239
9,13,0.000239
3,7,0.000238
10,14,0.000238
8,12,0.000238
5,9,0.000238
7,11,0.000237
10,14,0.000237
3,6,0.000237
3,7,0.000237
2,5,0.000237
2,5,0.000237
8,12,0.000236
9,13,0.000236
10,14,0.000236
4,8,0.000236
